,axis-0,axis-1
0,8.0,1367.0
1,11.0,1366.5
2,35.0,1492.5
3,36.0,1495.5
4,39.0,147.0
5,44.0,144.0
6,49.0,193.5
7,52.333333333333336,188.0
8,53.0,196.5
9,62.0,1370.5
10,63.0,1363.0
11,63.0,1381.0
12,66.5,1381.5
13,65.0,1393.0
14,69.0,707.0
15,71.42857142857143,1392.142857142857
16,72.0,1363.0
17,73.0,1402.0
18,75.0,710.0
19,79.0,660.0
20,80.0,708.0
21,82.0,666.5
22,83.0,664.0
23,83.0,705.0
24,97.0,1373.0
25,99.0,1367.0
26,101.0,1369.0
27,105.0,1365.0
28,112.0,663.0
29,114.0,665.5
30,116.0,664.0
31,117.0,712.0
32,119.0,710.0
33,121.5,668.5
34,121.0,1359.0
35,122.5,1352.5
36,123.0,714.0
37,131.5,1356.5
38,135.0,1351.5
39,149.0,264.0
40,152.0,263.0
41,239.0,441.0
42,240.0,439.0
43,257.5,22.5
44,260.0,419.0
45,260.5,423.5
46,263.0,28.0
47,293.0,455.0
48,297.0,449.0
49,299.0,1245.5
50,303.0,1252.0
51,308.0,1492.0
52,310.0,1490.0
53,312.0,1498.0
54,330.0,1470.5
55,332.0,1470.0
56,338.0,151.5
57,340.0,149.0
58,399.5,984.0
59,401.0,194.0
60,401.0,1431.0
61,402.0,1437.0
62,403.0,987.0
63,407.0,200.0
64,419.0,1563.0
65,420.0,1560.5
66,422.0,1556.5
67,450.0,293.0
68,453.0,303.0
69,455.0,300.5
70,471.0,1533.0
71,473.0,1526.5
72,474.0,1530.0
73,489.0,1444.0
74,492.0,1440.5
75,523.0,1107.5
76,526.0,1114.5
77,529.0,1101.0
78,532.0,64.5
79,533.0,68.0
80,568.0,477.0
81,570.0,472.5
82,623.0,887.5
83,624.0,408.0
84,625.0,436.0
85,626.0,900.0
86,627.0,438.5
87,627.0,896.5
88,630.0,402.0
89,637.0,1434.5
90,638.0,439.0
91,644.0,433.0
92,646.0,1433.0
93,656.0,1456.0
94,659.0,1453.0
95,672.0,885.0
96,674.0,882.5
97,677.0,890.0
98,701.0,1280.0
99,707.0,1273.0
100,707.0,1378.0
101,714.0,1381.0
102,716.0,1379.0
103,805.0,873.5
104,807.0,871.0
105,954.0,1542.0
106,957.0,1545.0
107,961.0,457.0
108,964.0,1049.0
109,966.0,452.0
110,969.0,1057.5
111,988.0,1261.5
112,989.0,699.0
113,992.0,1257.0
114,993.0,1259.0
115,995.0,706.0
116,1014.0,113.0
117,1016.0,115.0
118,1020.0,1494.0
119,1021.0,1498.5
120,1029.0,211.5
121,1029.5,216.0
122,1031.0,1554.0
123,1039.0,1559.0
124,1045.0,291.0
125,1047.0,289.0
126,1066.0,792.0
127,1068.0,795.0
128,1072.0,895.5
129,1073.0,901.0
