,axis-0,axis-1
0,36.0,811.5
1,42.0,811.0
2,42.0,988.0
3,47.0,985.0
4,48.0,975.5
5,51.0,978.5
6,109.0,851.0
7,111.0,853.0
8,144.0,399.0
9,150.0,393.5
10,166.0,391.5
11,167.33333333333334,395.0
12,226.0,40.5
13,231.0,34.5
14,233.0,1256.5
15,235.0,1254.0
16,279.0,900.0
17,287.0,901.0
18,299.0,1266.5
19,302.0,1263.0
20,309.0,960.5
21,310.0,79.0
22,311.0,958.0
23,313.0,82.5
24,317.0,615.0
25,319.5,620.0
26,321.0,167.5
27,322.0,170.5
28,323.0,969.5
29,331.0,970.0
30,332.0,644.5
31,332.0,653.0
32,343.0,311.0
33,352.0,309.0
34,356.5,304.5
35,359.0,222.0
36,365.0,215.5
37,368.0,304.5
38,370.0,299.0
39,406.0,1504.0
40,408.0,1509.0
41,420.0,789.0
42,422.0,791.0
43,426.0,787.0
44,430.0,857.0
45,437.0,851.0
46,437.0,1106.5
47,439.0,1110.5
48,445.5,1119.5
49,450.0,629.0
50,451.0,1121.0
51,452.0,1101.0
52,455.0,1110.5
53,456.0,635.0
54,456.0,1116.0
55,466.0,1462.0
56,469.0,1470.0
57,473.0,1435.0
58,478.0,1430.5
59,484.0,39.0
60,487.0,44.5
61,505.0,833.0
62,509.0,837.5
63,514.0,845.0
64,518.0,1036.0
65,521.0,1044.5
66,522.0,1040.5
67,530.0,1047.0
68,555.0,536.0
69,559.0,532.0
70,561.0,263.5
71,562.0,525.0
72,563.0,260.5
73,563.0,543.0
74,565.0,260.0
75,565.0,545.0
76,586.5,583.5
77,590.0,588.0
78,596.0,584.0
79,613.0,788.0
80,618.0,792.0
81,631.0,154.0
82,638.0,147.5
83,708.0,1277.0
84,711.5,1276.0
85,718.0,1280.5
86,736.0,1055.0
87,739.0,1058.0
88,811.0,477.0
89,814.0,485.5
90,827.0,846.0
91,834.0,839.0
92,838.0,842.0
93,845.0,828.5
94,848.0,846.0
95,849.0,826.0
96,849.0,837.5
97,850.0,844.0
98,878.0,729.0
99,878.0,732.5
100,885.0,869.0
101,887.0,872.0
102,893.0,1449.0
103,898.0,1452.0
104,931.0,1458.0
105,933.0,1449.0
106,935.5,194.5
107,935.0,201.5
108,935.0,1464.0
109,938.0,1443.5
110,950.0,344.0
111,952.0,467.0
112,954.0,338.0
113,954.0,467.0
114,959.0,471.0
115,978.0,769.0
116,980.0,767.0
117,992.0,475.0
118,999.5,474.0
119,1139.0,891.0
120,1142.0,892.0
121,1143.0,887.5
122,1144.0,894.0
123,1144.0,906.0
124,1147.0,909.0
125,1169.0,1153.0
126,1173.0,1149.0
