,axis-0,axis-1
0,67.0,1320.0
1,69.0,488.0
2,69.0,1317.5
3,72.0,491.5
4,129.0,160.0
5,129.0,169.0
6,147.0,241.5
7,153.0,248.0
8,204.0,1274.0
9,208.0,1270.0
10,214.0,250.0
11,222.0,253.5
12,224.0,311.0
13,229.0,316.0
14,230.0,310.0
15,231.0,314.0
16,233.0,304.0
17,234.0,317.0
18,235.0,311.0
19,236.0,336.0
20,238.0,333.5
21,244.0,328.5
22,244.0,1437.5
23,247.0,1434.0
24,270.0,273.5
25,272.0,274.5
26,275.0,280.5
27,292.0,1208.0
28,297.0,313.0
29,298.5,308.0
30,299.0,1201.0
31,303.0,304.0
32,311.0,428.0
33,313.0,420.0
34,314.0,349.0
35,316.0,423.0
36,320.0,354.0
37,375.0,1240.5
38,377.0,1231.0
39,380.0,1226.0
40,383.0,1078.5
41,384.0,1075.0
42,393.0,61.0
43,396.0,58.0
44,453.0,1309.0
45,459.0,1310.0
46,463.0,1037.0
47,466.5,135.5
48,466.0,1025.5
49,467.0,139.5
50,468.0,1041.5
51,471.0,1027.5
52,471.0,1047.0
53,503.0,317.0
54,504.0,310.0
55,508.0,302.5
56,511.0,312.0
57,517.0,302.0
58,518.0,314.0
59,525.0,302.0
60,574.0,531.0
61,578.0,527.0
62,587.0,518.0
63,595.0,516.0
64,610.0,484.5
65,612.0,477.0
66,643.0,460.0
67,645.0,469.0
68,656.0,607.0
69,657.0,611.5
70,702.0,32.0
71,705.0,29.0
72,747.0,1127.0
73,749.0,1129.5
74,765.0,258.0
75,769.6666666666666,258.3333333333333
76,772.0,89.0
77,777.0,95.0
78,779.0,93.0
79,791.0,255.0
80,792.0,236.0
81,796.0,232.0
82,797.0,261.0
83,799.0,258.5
84,803.0,228.0
85,815.0,29.5
86,820.0,23.0
87,871.0,1262.5
88,874.0,1268.0
89,876.0,912.5
90,878.0,915.0
91,895.0,933.0
92,897.0,921.0
93,901.0,927.0
94,904.0,890.0
95,906.0,885.5
96,906.0,1228.0
97,912.3333333333334,1344.6666666666667
98,914.0,1227.5
99,918.0,1344.5
100,924.0,1351.0
101,929.0,1453.5
102,933.0,88.0
103,934.0,552.0
104,934.0,1446.0
105,935.0,70.5
106,936.0,89.0
107,938.0,73.0
108,940.0,546.0
109,954.0,551.0
110,957.5,553.5
111,960.0,552.0
112,964.0,559.0
113,1020.0,1405.0
114,1023.0,1408.0
115,1050.0,771.0
116,1056.0,765.0
117,1085.0,844.0
118,1086.0,839.5
119,1138.0,182.0
120,1139.0,185.5
121,1142.0,188.0
