,axis-0,axis-1
0,18.0,157.5
1,19.0,167.0
2,27.0,883.0
3,35.0,159.0
4,35.0,164.5
5,36.0,886.0
6,37.0,157.0
7,37.0,1059.0
8,39.0,889.0
9,44.0,1066.0
10,55.0,1209.5
11,56.0,1212.5
12,57.0,1475.5
13,63.0,1469.0
14,84.0,139.0
15,88.0,135.0
16,90.0,568.5
17,91.33333333333333,222.33333333333334
18,92.0,566.0
19,94.5,158.0
20,94.0,222.5
21,100.0,164.0
22,108.0,1326.0
23,109.0,1322.0
24,110.0,1328.0
25,116.0,1339.5
26,118.0,1338.5
27,120.0,774.0
28,122.0,1334.0
29,123.0,774.0
30,127.0,1338.0
31,132.0,773.0
32,134.0,775.0
33,174.0,693.0
34,175.0,318.0
35,177.0,1349.5
36,178.0,321.0
37,179.0,314.0
38,180.0,695.0
39,182.0,1410.0
40,183.0,1342.5
41,185.0,1344.5
42,188.0,1404.0
43,189.0,186.0
44,196.0,176.5
45,196.0,179.0
46,199.0,174.0
47,205.0,1508.0
48,207.0,1506.0
49,244.0,157.0
50,246.0,1076.0
51,248.0,161.0
52,248.0,1081.0
53,249.0,1079.0
54,258.0,708.5
55,261.0,704.5
56,274.0,1382.0
57,278.0,1386.0
58,281.0,1383.0
59,282.0,213.0
60,286.0,516.5
61,287.0,218.0
62,294.0,521.0
63,324.0,126.0
64,324.0,129.5
65,334.5,138.5
66,339.0,134.0
67,343.0,795.5
68,343.0,804.5
69,348.0,803.5
70,348.0,796.5
71,350.0,28.0
72,353.0,1475.5
73,354.0,1469.0
74,359.0,27.0
75,400.0,457.0
76,402.0,455.0
77,415.0,783.5
78,417.0,323.0
79,419.0,777.0
80,420.0,326.0
81,455.0,836.0
82,459.0,832.0
83,469.0,63.0
84,473.0,49.0
85,474.0,58.0
86,496.0,1111.5
87,496.0,1116.0
88,501.0,154.0
89,504.0,144.5
90,504.0,158.0
91,507.0,137.0
92,514.0,1059.0
93,514.0,1069.5
94,516.3333333333334,1057.3333333333333
95,519.0,1066.5
96,538.0,1034.0
97,542.0,1198.0
98,544.0,1034.0
99,544.0,1196.0
100,548.0,149.0
101,548.0,1200.0
102,554.0,143.0
103,570.0,674.0
104,572.0,436.0
105,573.5,675.5
106,574.0,1095.0
107,574.0,1102.0
108,579.0,431.0
109,581.5,436.0
110,594.0,948.5
111,596.0,946.0
112,620.0,267.0
113,621.0,270.5
114,623.0,274.5
115,624.0,277.0
116,629.5,275.0
117,635.0,269.0
118,638.0,1288.0
119,640.0,1288.0
120,668.0,642.0
121,672.0,638.0
122,709.6666666666666,852.0
123,714.0,858.0
124,723.0,457.5
125,725.0,448.0
126,733.3333333333334,387.6666666666667
127,738.0,389.0
128,740.0,283.0
129,744.5,287.5
130,748.0,291.5
131,759.0,763.5
132,761.0,766.0
133,769.0,275.5
134,769.0,285.0
135,776.0,286.0
136,776.0,715.0
137,778.0,283.5
138,779.0,422.5
139,780.0,290.0
140,781.0,710.0
141,783.0,423.0
142,794.0,1252.5
143,798.0,1257.0
144,805.0,34.0
145,807.0,43.5
146,835.0,1536.0
147,836.0,1522.5
148,837.0,1528.5
149,838.0,732.0
150,846.0,737.5
151,890.5,964.0
152,894.0,968.0
153,895.0,983.0
154,896.0,977.5
155,899.0,972.0
156,899.0,974.0
157,902.0,964.0
158,932.0,790.5
159,938.0,784.0
160,979.0,269.5
161,982.0,318.0
162,984.0,273.5
163,985.0,327.5
164,999.0,1181.5
165,1004.0,1179.0
166,1009.5,1183.0
167,1026.0,1411.0
168,1028.0,1422.0
169,1030.5,1415.5
170,1037.0,1422.0
171,1044.0,1511.5
172,1045.0,1518.0
173,1049.0,1519.0
174,1054.0,547.5
175,1057.5,541.5
176,1060.0,537.0
177,1073.0,538.0
178,1075.0,536.0
179,1078.0,566.5
180,1084.0,564.0
181,1091.0,1244.0
182,1094.5,1250.5
183,1095.0,1255.5
184,1116.0,667.0
185,1122.0,673.0
186,1135.0,269.0
187,1138.0,264.0
188,1148.0,1388.0
189,1152.0,1392.0
190,1166.0,1017.0
191,1168.0,1015.0
192,1187.0,967.0
193,1189.0,967.0
