,axis-0,axis-1
0,8.0,830.5
1,12.5,835.5
2,23.0,1531.0
3,25.0,1529.0
4,68.0,800.0
5,70.0,433.0
6,74.0,440.5
7,75.0,800.0
8,107.0,128.5
9,107.0,133.0
10,109.0,149.0
11,112.0,150.0
12,120.0,1013.0
13,123.0,1005.5
14,123.0,1011.0
15,128.0,1419.0
16,131.0,1422.0
17,137.0,1431.5
18,140.0,1429.0
19,142.0,811.5
20,144.0,814.5
21,148.0,1430.5
22,151.0,819.0
23,154.0,806.5
24,158.0,1420.0
25,159.0,1423.5
26,160.5,292.5
27,160.0,807.0
28,161.0,1415.5
29,163.0,297.0
30,179.0,101.0
31,179.0,109.0
32,183.0,105.0
33,191.0,560.5
34,197.0,567.5
35,200.66666666666666,880.3333333333334
36,204.0,247.5
37,204.0,1351.0
38,205.0,1342.0
39,206.0,875.5
40,207.0,239.0
41,216.0,1371.0
42,217.0,1531.5
43,220.0,1535.0
44,222.0,1365.5
45,260.0,370.0
46,265.0,366.5
47,270.0,1277.5
48,272.0,1564.5
49,273.0,538.0
50,273.0,1279.5
51,278.6666666666667,537.0
52,278.0,1561.0
53,286.0,661.0
54,293.0,661.0
55,294.0,829.0
56,301.0,830.0
57,302.0,544.0
58,304.0,546.5
59,310.0,234.0
60,313.0,231.0
61,323.0,305.5
62,326.0,303.0
63,331.1666666666667,389.6666666666667
64,331.0,207.0
65,331.0,1357.0
66,332.0,205.0
67,335.0,396.0
68,335.0,1358.0
69,347.0,1249.0
70,349.0,1251.0
71,355.0,529.0
72,359.0,524.5
73,382.0,732.0
74,389.0,739.0
75,390.0,1489.0
76,393.5,736.5
77,393.0,1486.0
78,395.0,745.0
79,397.0,1053.0
80,399.0,1491.0
81,400.0,1048.5
82,403.0,1332.5
83,404.0,1335.5
84,406.0,1328.0
85,407.0,1042.0
86,413.0,1096.5
87,413.0,1100.5
88,424.0,1000.0
89,426.0,1509.0
90,430.0,1005.5
91,431.0,1019.0
92,432.0,1514.0
93,434.0,317.5
94,435.3333333333333,314.0
95,440.0,1022.0
96,442.0,1070.0
97,444.0,1073.5
98,447.0,561.0
99,449.0,563.0
100,451.5,1070.5
101,453.0,1493.0
102,459.0,1491.0
103,474.0,1177.0
104,477.6666666666667,1173.5
105,479.0,866.0
106,481.0,868.0
107,483.0,1167.0
108,523.0,934.0
109,526.0,925.5
110,525.0,1290.0
111,526.0,1283.0
112,527.0,1334.0
113,529.0,940.0
114,530.8,1287.4
115,532.0,1272.0
116,532.0,1329.0
117,534.0,1277.5
118,535.0,1275.0
119,547.0,1274.0
120,551.0,1278.0
121,556.0,1273.0
122,601.0,1228.5
123,607.0,1224.0
124,614.0,228.5
125,615.0,1423.5
126,618.0,1427.0
127,621.0,222.0
128,622.0,1205.0
129,624.0,1197.5
130,625.0,1201.5
131,636.0,227.0
132,638.0,225.0
133,650.0,966.5
134,653.0,334.5
135,653.0,962.5
136,655.0,337.0
137,680.0,1019.0
138,681.0,1024.5
139,686.0,1017.0
140,691.0,1028.0
141,698.0,1023.0
142,698.0,1127.0
143,700.0,1118.0
144,702.0,1089.0
145,703.0,1083.5
146,703.0,1121.5
147,709.5,1056.5
148,715.0,1057.0
149,717.0,1055.0
150,723.0,355.0
151,726.0,358.0
152,741.0,1479.0
153,744.0,1482.0
154,750.0,525.0
155,755.0,521.5
156,793.0,931.0
157,795.0,933.0
158,796.0,594.0
159,798.0,1151.0
160,799.0,598.0
161,803.0,1152.0
162,808.0,1163.0
163,809.3333333333334,1158.3333333333333
164,810.0,1161.0
165,840.0,1058.0
166,842.0,1060.0
167,845.0,1059.0
168,848.0,600.0
169,853.0,605.0
170,853.0,1412.5
171,858.0,1407.0
172,881.0,979.0
173,887.0,547.0
174,888.0,980.0
175,889.0,545.0
176,895.0,540.5
177,899.0,1384.0
178,902.0,1387.0
179,904.5,138.5
180,904.0,1379.0
181,908.0,145.5
182,915.0,583.0
183,918.0,573.5
184,951.0,1416.5
185,955.0,1412.0
186,960.0,1406.5
187,963.0,835.0
188,964.0,828.0
189,985.0,750.5
190,986.0,515.0
191,986.0,745.0
192,986.0,1042.0
193,991.5,1034.0
194,993.0,519.0
195,994.0,741.0
196,994.0,1027.0
197,1009.0,93.5
198,1011.0,1043.0
199,1011.0,1046.0
200,1013.0,96.0
201,1013.0,1489.0
202,1017.0,402.5
203,1019.0,1491.5
204,1019.3333333333334,393.3333333333333
205,1032.0,727.0
206,1034.0,729.0
207,1035.3333333333333,1501.3333333333333
208,1035.0,1507.5
209,1036.0,1504.5
210,1040.0,172.0
211,1048.0,168.5
212,1049.0,174.0
213,1050.0,1327.0
214,1054.0,1331.0
215,1057.0,1329.0
216,1072.0,1383.0
217,1073.5,1379.5
218,1075.0,1387.5
219,1093.0,1385.5
220,1093.0,1392.5
221,1095.0,1395.5
222,1096.0,1400.5
223,1105.0,667.0
224,1111.0,671.0
225,1135.0,1005.0
226,1137.5,1513.0
227,1138.0,1508.5
228,1140.0,1010.0
229,1145.0,428.0
230,1146.0,1342.0
231,1149.6666666666667,1345.3333333333333
232,1150.0,421.5
233,1175.0,341.0
234,1179.0,341.0
235,1185.0,1275.0
236,1186.0,1281.0
