,axis-0,axis-1
0,72.0,151.5
1,75.0,146.5
2,79.0,149.0
3,93.0,122.0
4,99.0,116.0
5,118.5,855.5
6,120.0,864.0
7,125.0,868.0
8,127.0,287.5
9,127.0,290.0
10,136.0,345.0
11,140.0,338.0
12,159.0,299.0
13,161.0,297.0
14,169.0,987.0
15,172.33333333333334,983.0
16,184.0,977.0
17,185.0,973.5
18,247.0,975.0
19,256.0,971.0
20,264.0,1125.5
21,265.5,31.0
22,270.0,1121.5
23,272.5,34.5
24,307.0,979.0
25,309.0,974.5
26,310.5,777.0
27,311.0,186.0
28,313.0,188.0
29,313.3333333333333,774.6666666666666
30,314.0,946.5
31,317.0,178.0
32,317.0,778.0
33,317.5,949.5
34,320.0,181.0
35,321.0,173.0
36,326.0,169.0
37,326.0,562.0
38,327.0,950.0
39,328.0,557.0
40,329.0,173.0
41,330.0,187.0
42,330.0,954.0
43,335.0,182.0
44,344.6666666666667,1121.0
45,346.0,320.0
46,346.0,322.0
47,349.0,1115.0
48,355.0,1554.5
49,357.0,1559.0
50,358.0,1551.0
51,370.0,1583.5
52,371.0,1586.0
53,374.0,1482.0
54,382.0,952.5
55,382.0,1477.0
56,383.0,1139.0
57,384.0,950.0
58,389.0,1133.0
59,399.0,551.0
60,400.0,556.5
61,401.0,553.0
62,403.0,554.0
63,405.0,344.5
64,410.0,565.0
65,412.0,342.0
66,417.5,571.0
67,417.0,628.0
68,425.0,629.0
69,429.0,365.0
70,430.0,358.5
71,431.0,363.0
72,494.0,70.0
73,499.0,69.0
74,503.0,727.0
75,504.0,699.5
76,505.0,705.0
77,506.0,724.0
78,528.0,829.0
79,532.0,833.0
80,535.0,284.0
81,535.5,826.0
82,539.0,275.0
83,539.0,277.5
84,544.0,275.0
85,548.0,269.0
86,574.0,176.5
87,583.0,175.5
88,584.0,243.5
89,587.0,245.5
90,591.0,387.0
91,597.0,385.0
92,601.0,381.0
93,602.0,346.5
94,605.0,350.5
95,622.3333333333334,1411.6666666666667
96,628.0,1419.0
97,631.0,1430.5
98,633.0,1146.0
99,634.0,1428.0
100,635.0,1142.0
101,635.0,1144.0
102,637.0,1134.0
103,637.0,1140.0
104,638.0,1147.0
105,673.5,1172.5
106,674.0,1176.5
107,677.0,636.0
108,681.0,630.5
109,691.0,70.5
110,694.0,74.0
111,713.0,704.5
112,716.0,700.0
113,721.5,1096.0
114,722.0,1100.5
115,788.0,988.5
116,788.0,1559.0
117,791.0,1557.5
118,794.0,982.0
119,795.0,730.0
120,799.0,1526.0
121,799.0,1536.5
122,799.0,1553.0
123,800.5,723.5
124,803.0,1526.0
125,806.2857142857143,1535.142857142857
126,805.0,1551.0
127,806.0,85.5
128,808.0,88.0
129,811.0,1537.5
130,812.0,1546.0
131,816.0,526.5
132,822.0,526.5
133,822.0,902.5
134,822.0,1510.0
135,824.0,909.0
136,829.0,556.5
137,829.0,1503.0
138,837.0,558.5
139,864.0,742.0
140,866.0,740.0
141,869.0,1031.0
142,871.0,1028.0
143,888.0,56.0
144,891.0,59.0
145,892.0,1360.0
146,897.0,1361.0
147,906.0,162.0
148,907.0,165.0
149,909.5,1256.5
150,911.0,168.0
151,915.0,164.0
152,917.0,1250.0
153,927.0,1257.0
154,935.0,1259.0
155,938.0,333.5
156,938.0,337.0
157,943.5,340.5
158,944.5,344.0
159,944.0,353.0
160,946.0,347.5
161,975.0,49.0
162,980.0,53.0
163,986.0,787.0
164,988.0,784.5
165,1002.0,1541.0
166,1004.0,1550.0
167,1028.0,1539.0
168,1030.0,1541.0
169,1031.0,1547.2857142857142
170,1033.0,972.0
171,1036.0,980.0
172,1038.5,936.5
173,1040.0,933.0
174,1046.5,481.5
175,1047.0,477.0
176,1047.0,1095.0
177,1051.0,1096.0
178,1094.0,237.0
179,1099.5,238.0
