,axis-0,axis-1
0,25.0,213.0
1,30.0,122.5
2,32.0,211.0
3,37.0,122.0
4,41.5,799.0
5,44.0,804.0
6,112.0,1367.5
7,115.0,1364.0
8,172.44444444444446,227.11111111111111
9,179.0,222.5
10,179.0,267.0
11,183.66666666666666,270.0
12,187.5,272.0
13,194.0,277.0
14,197.0,280.0
15,204.0,283.5
16,225.0,659.0
17,227.0,293.0
18,228.0,284.5
19,229.0,290.5
20,231.0,656.0
21,271.0,577.0
22,273.0,579.5
23,300.0,1100.0
24,302.0,1098.0
25,302.0,1476.0
26,303.0,1482.5
27,311.0,1525.0
28,317.0,1532.5
29,319.5,406.0
30,322.0,408.5
31,336.0,677.0
32,339.0,680.0
33,341.0,1334.0
34,347.0,1335.5
35,348.0,404.0
36,352.0,347.5
37,353.0,339.5
38,353.0,409.0
39,354.0,269.5
40,355.0,273.0
41,357.0,338.5
42,373.1111111111111,355.8888888888889
43,380.0,359.0
44,408.0,376.0
45,411.0,366.5
46,412.0,371.5
47,419.0,1145.5
48,421.3333333333333,1140.0
49,427.0,153.0
50,432.0,154.5
51,441.0,747.0
52,446.0,752.0
53,450.0,181.5
54,452.0,184.0
55,464.0,1203.0
56,470.0,1197.0
57,487.0,599.0
58,488.0,606.0
59,491.5,596.5
60,508.0,321.0
61,509.0,611.0
62,509.0,615.5
63,511.0,619.0
64,511.0,1525.0
65,513.0,315.5
66,515.0,1520.5
67,521.0,320.0
68,537.0,488.0
69,541.0,496.5
70,541.0,519.5
71,541.0,525.0
72,556.0,879.0
73,556.0,883.5
74,580.0,56.0
75,581.5,279.5
76,583.0,59.0
77,584.0,535.0
78,586.0,275.5
79,590.0,541.0
80,621.0,1358.0
81,624.3333333333334,1353.6666666666667
82,627.0,1356.0
83,649.0,66.0
84,651.0,72.0
85,651.0,1233.0
86,655.0,1184.5
87,657.0,1225.5
88,659.0,1190.0
89,669.0,721.5
90,672.0,888.0
91,675.0,721.5
92,676.0,387.5
93,681.0,892.0
94,685.0,389.0
95,703.0,521.0
96,706.0,526.0
97,712.0,530.0
98,736.0,567.5
99,738.0,570.0
100,740.0,914.0
101,741.0,56.0
102,747.0,918.0
103,750.0,53.0
104,759.0,50.0
105,795.0,1020.5
106,801.0,76.0
107,802.0,1024.0
108,803.0,325.5
109,804.0,331.0
110,805.0,72.0
111,817.0,1281.0
112,821.0,1277.0
113,823.0,1230.0
114,826.0,1519.5
115,828.0,1225.0
116,831.0,1514.0
117,857.0,272.5
118,858.0,275.0
119,863.0,275.5
120,891.0,732.0
121,893.0,730.0
122,925.0,451.0
123,930.6666666666666,1432.0
124,932.0,458.0
125,936.0,1426.0
126,949.0,559.0
127,950.0,540.0
128,951.0,557.0
129,954.0,536.0
130,976.0,938.0
131,983.0,945.0
132,1001.0,1370.5
133,1004.0,1366.5
134,1013.0,1188.0
135,1013.0,1196.5
136,1015.0,1172.5
137,1015.0,1212.0
138,1019.0,1168.5454545454545
139,1019.0,1218.0
140,1020.0,978.0
141,1022.0,1171.0
142,1023.0,1178.0
143,1029.0,979.0
144,1030.0,982.0
145,1039.0,249.0
146,1041.0,251.0
147,1062.0,384.5
148,1062.0,395.0
149,1065.0,1150.0
150,1066.0,393.0
151,1066.0,433.0
152,1068.0,1147.0
153,1069.0,409.5
154,1071.0,439.0
155,1078.0,408.0
156,1080.0,410.0
157,1083.0,963.0
158,1088.0,958.0
159,1097.0,1343.0
160,1102.0,445.0
161,1104.0,447.0
162,1105.0,1345.0
163,1110.0,37.0
164,1112.5,32.5
165,1125.0,50.5
166,1128.0,418.0
167,1129.0,50.0
168,1129.0,426.5
169,1166.0,933.5
170,1170.0,931.0
171,1174.0,1345.0
172,1175.0,1341.5
173,1180.0,354.5
174,1183.0,350.0
