,axis-0,axis-1
0,16.5,1439.5
1,21.0,1444.0
2,116.0,595.0
3,120.0,591.0
4,128.0,576.5
5,130.0,577.5
6,132.0,585.5
7,179.0,1595.0
8,186.33333333333334,1589.0
9,198.0,1554.5
10,204.0,1555.0
11,207.0,1555.0
12,209.0,1547.5
13,212.0,193.0
14,216.0,197.0
15,485.0,580.0
16,488.0,577.0
17,491.0,580.0
18,600.0,978.0
19,605.0,983.5
20,619.0,593.5
21,620.0,589.5
22,644.0,533.0
23,646.0,531.0
24,666.0,597.0
25,668.4,592.0
26,675.0,596.0
27,851.0,133.0
28,853.0,114.0
29,855.0,126.0
30,859.0,117.5
31,859.0,122.5
32,876.0,827.0
33,878.0,825.0
34,878.0,1113.0
35,881.0,1110.0
36,882.0,859.0
37,890.0,864.0
38,935.0,157.0
39,937.0,1099.0
40,940.0,152.0
41,940.0,1102.5
42,979.0,495.5
43,982.0,499.0
44,985.0,488.0
45,997.0,1267.0
46,1001.0,1271.0
47,1061.0,258.0
48,1066.0,252.5
49,1134.0,1044.5
50,1136.0,1045.5
51,1140.5,1025.0
52,1146.0,1019.0
