,axis-0,axis-1
0,59.0,1488.0
1,62.0,1521.0
2,65.0,1524.0
3,66.0,1481.0
4,209.0,1581.0
5,210.0,1574.5
6,607.0,1506.0
7,611.0,1510.5
8,616.0,1512.0
9,620.0,1508.0
10,803.0,1590.5
11,807.0,1584.0
12,814.0,294.5
13,820.0,299.5
14,821.0,296.0
15,823.0,513.5
16,825.0,505.5
17,826.0,622.0
18,828.0,625.5
19,847.0,634.0
20,852.0,633.0
21,865.0,825.5
22,872.0,824.0
23,886.0,364.0
24,889.0,361.0
25,904.0,294.5
26,904.0,304.0
27,907.0,308.5
28,908.0,316.0
29,939.0,316.0
30,943.0,316.0
31,947.5,314.0
32,986.0,292.0
33,988.0,294.0
34,988.0,1043.0
35,991.0,1037.5
36,1076.0,1282.0
37,1083.0,1284.0
