,label,centroid-0,centroid-1
0,1,15.5599481529488,521.8613091380428
1,2,16.671763506625894,623.4196398233096
2,3,31.356280193236714,763.1742149758454
3,4,32.76489300173511,985.5112781954887
4,5,25.854853620955314,1256.2693374422188
5,6,24.517190388170054,1329.370425138632
6,7,21.7354609929078,1460.777659574468
7,8,48.81666190340097,1564.7546441840525
8,9,44.82777857245029,179.69174653125447
9,10,63.922374429223744,26.49771689497717
10,11,48.64586387434555,444.43916230366494
11,12,60.99135276000948,1150.7755271262733
12,13,64.34597961494904,1377.022838807097
13,14,68.83745932946668,911.9165369925025
14,15,75.70836487509463,292.5732399697199
15,16,74.84049367286362,665.5506952038744
16,17,81.52558895207149,367.35337124289197
17,18,90.95325319595497,1492.946956687655
18,19,77.0912066332097,549.5893519528693
19,20,96.20150007211885,124.09144670416848
20,21,114.27102679755903,1042.4698859113823
21,22,114.9041400388997,826.0570991942207
22,23,103.72043317184384,1251.6883727557708
23,24,126.99032422339161,1401.406552368019
24,25,140.5013858497447,735.800291757841
25,26,135.45020463847203,451.5702592087312
26,27,140.45681539091282,563.4074907900123
27,28,155.11290057518488,949.5608874281019
28,29,171.33222884912746,213.7623149988955
29,30,152.03207510267944,1130.1212595345198
30,31,176.20707854703508,1265.861533685191
31,32,174.39020746887968,86.9701244813278
32,33,185.8209255533199,1526.4522851394079
33,34,192.02936050408903,663.7618983777986
34,35,177.25758498842453,321.33130254660654
35,36,219.39525691699606,40.76510446075663
36,37,210.17891139858432,865.0333170612644
37,38,180.55265610438025,1436.8524386455422
38,39,214.42131350681535,1142.6245353159852
39,40,215.85355244079264,1330.5722571290478
40,41,225.78242456326097,1009.3851773425092
41,42,237.05218972995664,604.896180215475
42,43,240.1440808875158,769.4844825165005
43,44,214.90682122157824,501.6016495764601
44,45,226.82174486527228,413.14283022423217
45,46,240.72299844754934,1433.5464626302949
46,47,265.18077537389286,197.3262668796283
47,48,282.6264840182648,1162.4194390084801
48,49,278.8991213435658,319.45767990212437
49,50,287.94716544543,1254.3031237948323
50,51,277.28236002408187,1554.8733694561508
51,52,289.9857694653385,117.71152673307583
52,53,289.1675193493375,499.1141282959465
53,54,308.9331382589612,903.1806876371617
54,55,307.6041813483674,1367.9025135071647
55,56,319.13911075612356,1459.5957135250267
56,57,312.5844102843151,694.5214256563733
57,58,302.466136631331,1022.0225265017668
58,59,338.57639890973223,41.998877665544335
59,60,341.8008371888081,1313.8869795109056
60,61,336.6512964054213,814.1648497348261
61,62,347.6262592343855,401.566319677636
62,63,355.89637305699483,587.7405440414508
63,64,347.82240367440676,1558.4154120949222
64,65,363.1345631067961,1224.6196116504855
65,66,363.67645062775705,1066.412283678317
66,67,361.56982214572577,187.87814113597247
67,68,377.45710881652104,329.12668784749803
68,69,390.0934302239359,514.8648969301498
69,70,379.33133971291863,714.9949760765551
70,71,388.2469993682881,1157.0865445356917
71,72,386.1527112473654,955.527687296417
72,73,402.8193338160753,1394.4100289645185
73,74,410.9043927648579,1486.7596899224807
74,75,452.2549691569568,25.968814256339957
75,76,419.35984,853.6168
76,77,418.93442136498516,1576.0528189910979
77,78,449.20148663609046,468.1847224418789
78,79,433.51073655045025,651.3620410990534
79,80,445.94660602998147,743.7502105440458
80,81,436.39,260.1283870967742
81,82,441.2298850574713,101.2506157635468
82,83,435.0228096354722,1099.7484544873162
83,84,446.8289514382926,1313.5901639344263
84,85,454.55778808174483,999.3237162974411
85,86,462.57745398773005,181.2363880368098
86,87,479.9265489673551,405.489673550966
87,88,454.4878254988164,1214.5432871153196
88,89,481.7508764241893,334.386722173532
89,90,488.44836392657623,566.1616919393456
90,91,489.2119971520114,915.6543253826985
91,92,482.30864850568634,1520.5490610949485
92,93,494.5591054313099,1436.4352654799939
93,94,513.1746306402237,784.3893251697059
94,95,517.1976406223285,1135.4532398700633
95,96,544.5929557476454,1059.0709585859888
96,97,526.0866056185007,654.0686015831135
97,98,544.5174511223751,116.99623461259957
98,99,543.4307610993658,1241.4779334038055
99,100,537.8527110117384,1349.0688932364449
100,101,553.3371844244758,290.76444159178436
101,102,556.8507862759113,872.6994281629735
102,103,555.5761700095511,458.8268863419293
103,104,539.756862745098,1575.5803921568627
104,105,555.8710151006711,216.20322986577182
105,106,589.3113311331133,984.8392617039482
106,107,589.984965546043,360.44017540196285
107,108,586.2678157109711,580.0780576731853
108,109,584.3229714285715,1526.0278857142857
109,110,608.0402843601896,723.2862032648762
110,111,600.8393103448276,1450.2453793103448
111,112,597.0318428184282,495.1016260162602
112,113,628.5279710548289,833.6967715001391
113,114,619.5954284286785,1161.8666000499625
114,115,633.9372951403734,31.360695453897677
115,116,620.3733092876465,1335.4627592425609
116,117,646.8852097130243,107.11891096394407
117,118,654.339,636.9775714285714
118,119,662.239335428828,925.9914683430624
119,120,654.7407803313736,1267.284161767326
120,121,652.1914335664336,195.36101398601397
121,122,668.9575342465754,269.1375
122,123,647.9681159420289,430.8473429951691
123,124,679.6360353130016,1039.8163456393793
124,125,672.5073803730738,517.9709651257097
125,126,678.3640016070711,1404.7336279630374
126,127,698.9506837358161,775.2455629909805
127,128,678.487983706721,1516.4639511201628
128,129,690.4926644581165,334.1855182205395
129,130,721.520907267397,1135.536645579386
130,131,724.3306093444662,1219.332208207497
131,132,727.0798582720088,1467.5483783047152
132,133,755.7618268893821,675.3500759257096
133,134,737.5503917378917,1361.4480056980058
134,135,736.1251543209877,586.1675925925925
135,136,744.125,460.69250954198475
